Usage,Text,Label
Public,Ng ko er a omelkesel Ngirakerisil el di diak lecheldereder a mlil. ,pau
Public,Ng kora omengelel a Laib el mengang e melakl,pau
Public,Ng kora osechel a mengur el di ngar er a milkolk el mo er a milkolk.,pau
Public,Ng ko er a remechas el kerekikl er a klukl me a rames.,pau
Public,Ng ko er a rengul a bolobel el di melemalt.,pau
Public,Ng ko er a rrull el di mededeod el mengang el merael.,pau
Public,Ng ko er a rrut rubak.,pau
Public,Ng ko er a Tangerekoi.,pau
Public,Ng ko er a tengadidik el di melekoi el suebek.,pau
Public,Ng ko er a teribsel a daob el di mei e mo diak.,pau
Public,Ng ko er a terriid el teloi er a klab e di mengerem.,pau
Public,Ng ko er a uchul a delil ar rurrot.,pau
Public,Ng ko er a uel el suebek e mekebekabes a ochil.,pau
Public,Ng ko er a uul el teleu a blil e oleker er a chull.,pau
Public,Ng mimokl a usekerel el chad.,pau
Public,Ng oba a otebedel a chulad.,pau
Public,Ng omok a kerrekar.,pau
Public,Ngai bebudel.,pau
Public,Ngak a ngit me kau a ngoi?,pau
Public,Ngalek a bai.,pau
Public,Ngalek a riomel. Ngalek a ked.,pau
Public,Ngalek a uloul.,pau
Public,Ngara eseos e olengimech el mera dalem.,pau
Public,Ng cheiko e omekrael er a ta er a cheiko.,pau
Public,Ng di rengud e ngused.,pau
Public,Ng di sengsongd e mrechorech a kauang.,pau
Public,Ng diak kobetik rengii recheroid e me douchi er a rebai.,pau
Public,Ngdichelled e mekemad?,pau
Public,Ngdingemelel a Ititong a mult a dechel.,pau
Public,Ngelek el budel.,pau
Public,Ngelek el chelsel.,pau
Public,Ngelek el medad.,pau
Public,Ngeuaol er a busech,pau
Public,Ngika el chad a ko er a debar.,pau
Public,Ngiradart.,pau
Public,Ngiull e ngedall. ,pau
Public,Ng kekerei e sechal,pau
Public,Ng kolia a delal.,pau
Public,Ng kolia a ngelekel.,pau
Public,Ng melebisech er a chutem e imiit? ,pau
Public,Ng meredem er oiaol bedul ngii.,pau
Public,Ng mla merekakl a tekingel.,pau
Public,Ng mla mkelii a tual.,pau
Public,Ng okouik me ng obached e a lokouim eng diak lobached.,pau
Public,Ng ouchaet a chikled er ngii el tekoi.,pau
Public,Ng ralm el tekoi.,pau
Public,Ng ta el suk me ng diilut re Meduu.,pau
Public,Ng tilobed a delbengek.,pau
Public,Ng ua beab el mengard.,pau
Public,Ng ua kukau el omertort a ditel e chemoes.,pau
Public,Ng ua lemechebiso tolekngel a Modelab,pau
Public,oba a omesalo-eaur,pau
Public,Oba tet e luut,pau
Public,Ogai,pau
Public,Oked lomiou.,pau
Public,Olbed e kall.,pau
Public,Oldubech er a malt.,pau
Public,Olduleb e melidel.,pau
Public,Olik. ,pau
Public,Oltengkou,pau
Public,Omechar a reng.,pau
Public,Omechiib e melemedem,pau
Public,Omeka cheremel a Rebabch.,pau
Public,Omengal dechedacham,pau
Public,Omerekerek er a marek. ,pau
Public,Orellel a ulaol. ,pau
Public,Ouklalo a tekoi.,pau
Public,Ousebus a medob.,pau
Public,Outet a delengcholk.,pau
Public,Outet a tekoi,pau
Public,Ralm toach,pau
Public,Rechiil,pau
Public,Rekil-ngebard,pau
Public,Rekil-ongos.,pau
Public,Rekung el daob otetechi a rekung el beluu.,pau
Public,Se el obutek a medak.,pau
Public,Sengall.,pau
Public,Te ko er a kila a deldalech.,pau
Public,Te menga a ekil.,pau
Public,Techel a miich.,pau
Public,Tekoi el cheliuis. ,pau
Public,Tekoi el kereker,pau
Public,Telib.,pau
Public,Teluo chural,pau
Public,Tia di ngii mak terrob ra Mekaeb,pau
Public,Tiuach.,pau
Public,Tuich el kelulau e loubuch er a ralm. ,pau
Public,Tuich el kelulau. ,pau
Public,Turturk medeomel.,pau
Public,Ultechakl. ,pau
Public,Ungil a eanged.,pau
Public,Yasaibune.,pau
Public,Ng ko er a imekurs el lak el meselsilek er a eolt e ng diak lourodech.,pau
Public,Ng ngar ngii a melebisech er a chutem e imiit,pau
Public,དཔྱད་རྩོམ་འདིའི་དམིགས་ཡུལ་ནི་ལྷ་སའི་ཁ་སྐད་ནང་གི་སྐུལ་འདེབས་ཀྱི་ངག་སྟོན་པའི་ཚིག་གི་དོན་དག་ཞིབ་ཕྲས་རྟག་དཔྱད་བྱེད་རྒྱུ་དེ་རེད།,bod
Public,དོན་དམ་དུ་འཛམ་གླིང་གི་སྐད་རིགས་དང་སྐད་རིགས་གཅིག་སོ་སོའི་ནང་སྐུལ་འདེབས་སྟོན་པའི་ཚིག་སྣ་ཚོགས་ཡོད་སྲིད་པ་ཡོངས་གྲགས་ཡིན་པ་,bod
Public,དང་། དེའི་དོན་དག་མི་འདྲ་བ་ཡོད་སྲིད་པ་དེའང་ཡོངས་གྲགས་རེད།,bod
Public, གིས་གསར་གཏོད་བྱས་པའི་སྐུལ་འདེབས་ཀྱི་དོན་དག་གི་མཚོན་རིས་ངོ་སྤྲོད་ཞུས་ནས་,bod
Public,ལྷ་སའི་ཁ་སྐད་ཀྱི་སྐུལ་འདེབས་ཀྱི་ངག་གིས་མཚོན་རིས་དེ་དབྱེ་བ་འབྱེ་སྟངས་ངོ་སྤྲོད་བྱེད་རྒྱུ་ཡིན།,bod
Public,རྩོམ་རིག་དེ་བཟོ་བཅོས་གནང་རོགས་དང་ཆེད་ལས་ཀྱི་ཐ་ཉད་བསྒྱུར་རོགས་གནང་བས་གུས་པས་དམིགས་བསལ་གྱིས་རྒན་ཆུང་ཚེ་རང་,bod
Public,ལགས་དང་རྒན་པད་མ་ལྷུན་གྲུབ་གཉིས་སུ་ཐུགས་རྗེ་གནང་ཞུ་ཡི་ཡོད། ནོར་འཕྲུལ་དང་མི་གསལ་བ་ཚང་མ་ནི་གུས་པས་བཟོས་པས་དགོངས་པ་ཞུ་ཡི་,bod
Public,སྤྱིར་བཏང་བྱས་ན། སྐུལ་འདེབས་ནི་དང་པོ་བསྟན་དོན་རིག་པ་དང་འབྲེལ་བ་ཡོད་པའི་ཐ་སྙད་ཅིག་ཡིན་པ་དང་། སྐུལ་འདེབས་ཀྱི་སྐད་ཆའམ་ཚིག་གྲུབ་,bod
Public,ནི་བྱ་བ་གཉིས་བར་དུ། རྒྱུ་འབྲས་ཀྱི་འབྲེལ་བ་ཡོད་པ་མཚོན་བྱེད་དུ་བེད་སྤྱོད་བྱེད་ཀྱི་རེད། རྒྱུ་འབྲས་ཀྱི་འབྲེལ་བ་ནི་,bod
Public,ལ་སྟུན་ཏེ་གཤམ་གྱི་ཆ་རྐྱེན་གསུམ་གྱིས་མཚོན་གྱི་ཡོད་པ་རེད།,bod
Public,༡༽ བྱ་བ་དེ ་གཉིས་ལ་་་འིའི་་་རིམ་ཡོད་པ་དང་།,bod
Public,༢༽ བྱ་བ་གཉིས་པ་འབྱུང་བར་བྱ་བ་དང་པོ་ངེས་པར་ད་ས།,bod
Public,༣༽ དེ་བཞིན་བྱ་བ་དང་པོ་བྱུང་ཚར་རྗེས། སྤྱིར་བཏང་བྱ་བ་གཉིས་པ་དེའང་འབྱུང་བ་ངེས་པ་གཏན་འཁེལ་ཡོད་པ་རེད། འོན་ཀྱང་ཚིག་གྲུབ་ནང་ལ་ཚིག་,bod
Public,གིས་གནས་སྟངས་ལྡོག་ཕྱོགས་ཀྱང་གསལ་བཟོ་སྲིད་ཀྱི་རེད། དེ་ནི་གྲུབ་འབྲས་མེད་པའམ་ཡོངས་སུ་མ་རྫོགས་པའི་སྐུལ་འཛབས་རེད།,bod
Public,འཛམ་གླིང་གི་སྐད་རིགས་མི་འདྲ་བའི་ནང་དུ་སྐུལ་འཛབས་བརྗོད་སྟངས་སྣ་ཚོགས་ཡོད་པ་དང་། སྐད་རིགས་གཅིག་དེ་ཉིད་ཀྱི་ནང་དུའང་སྐུལ་འདེབས་,bod
Public,བརྗོད་སྟངས་འདྲ་མི་འདྲ་ཡོད་སྲིད།དེ་བཞིན་དུ་ལྷ་སའི་ཁ་སྐད་ནང་དུ་དོན་དག་དེའི་བརྗོད་རྒྱུའི་ཆེད་དུ་ཚིག་ཕྲད་དམ། བརྒྱུད་པའི་བརྗོད་པ། བྱ་ཚིག་ཕལ་,bod
Public,བ་སོགས་བཀོལ་ན་ཆོག གཤམ་གྱི་དཔེ་བརྗོད་ནས་བར་ལྷ་སའི་ཁ་སྐད་ཀྱི་སྐུལ་འདེབས་ཀྱི་དོན་དག་སྟོན་པའི་ཚིག་གྲུབ་མི་འདྲ་བ་བཞི་བཞག་,bod
Public,ཚིག་གྲུབ་སྦྱོར་གྱི་ཕྱོགས་ནས་སྐུལ་འདེབས་ཀྱི་ངག་གི་མཚན་ཉིད་ནི་དེ་ལས་ཏོག་ཙམ་དམིགས་བསལ་ཡིན་ཏེ། སྤྱིར་བྱ་ཚིག་གིས་བསྟན་,bod
Public,པའི་བྱ་བར་མཉམ་ཞུགས་བྱེད་པའི་མི་སྣ་དང་དངོས་པོ་རྣམས་ཚིག་གྲུབ་ལ་མིང་ཚིག་གིས་མཚོན་པ་དང་། མིང་ཚིག་དེ་རྣམས་ཚིག་གྲུབ་ཀྱི་དོན་དག་ལ་,bod
Public,བལྟས་ནས་ཡོད་མེད་དང་དེ་རྣམས་ལ་རྣམ་དབྱེ་གང་སྦྱོར་དགོས་པ་དེ་གཙོས་བྱ་ཚིག་ཚིག་ལ་རག་ལས་པས། མིང་ཚིག་དེ་ཚོ་བྱ་ཚིག་ལ་བརྟེན་པའི་མིང་,bod
Public,དེ་བས་སྐུལ་འདེབས་ཀྱི་ངག་གི་ནུས་པ་ནི། ཚིག་གྲུབ་གཅིག་དེ་ཉིད་ཀྱི་ནང་དུ་ད་དུང་སྐུལ་པ་པོཟེར་བའི་བྱ་ཚིག་ལ་བརྟེན་པའི་མིང་ཚིག་,bod
Public,གསར་པ་ཞིག་སྣོན་སྤེལ་རྒྱག་ཐུབ་པའི་ཁྱད་ཆོས་ཤིག་ཡོད་རེད,bod
Public,། དཔེར་ན། གངས་བབས་དང་ཁོ་རང་གིས་གངས་བབས་བཅུག་པ་ལྟ་བུར་མཚོན་ན།,bod
Public,་་མར་བྱ་ཚིག་བབས་ལ་བརྟེན་པའི་མིང་ཚིག་གངས་མ་གཏོགས་མེད་པ་དང་། འི་མར་མིང་ཚིག་གངས་མ་ཟད་གངས་བབས་བཅུག་མཁན་ཀྱང་ཡོད་པ་,bod
Public,དེ་བྱ་ཚིག་གི་ནུས་པས་སྟོན་ཐུབ་ཀྱི་ཡོད།,bod
Public,དེ་ལྟར་ཡིན་པས་ཚིག་གྲུབ་སྦྱོར་ཚུལ་དང་འབྲེལ་བ་ཡོད་པའི་སྐུལ་འདེབས་ཀྱི་ངག་གི་མཚན་ཉིད་ལ་བརྟེན་ན། དཔེར་བརྗོད་ནས་བར་,bod
Public,གྱི་ནང་ནས་དང་མ་གཏོགས་སྐུལ་འདེབས་ཀྱི་ངག་ལ་རྩིས་ཀྱི་མ་རེད། དོན་དམ་དུ་་ང་གསལ་དཔེར་བརྗོད་དང་པའི་ནང་ལ་སྐུལ་པ་,bod
Public,པོ་དེ་ཚིག་གྲུབ་གཅིག་དེ་ཉིད་ཀྱི་ནང་ལ་ཤུགས་བསྟན་ནམ་བརྗོད་མེད་པར་། འབྲེལ་བ་ཡོད་པའི་ཚིག་གྲུབ་ཁག་ཁག་གཉིས་ནང་བརྗོད་ཡོད་པ་རེད།,bod
Public,དེའི་ལྡོག་ཕྱོགས་སུ་དཔེར་བརྗོད་དང་པའི ་ནང་ལ་ཚིག་གྲུབ་གཅིག་ལས་མེད་པ་དང་། རྗོད་ཚུལ་དེ་གཉིས་ཀྱིས་ཚིག་གྲུབ་ནང་ལ་སྐུལ་པ་པོ་ཐད་,bod
Public,ཀར་འཇུག་གི་རེད། དེ་བས་རྗོད་ཚུལ་དེ་གཉིས་དོན་དག་དང་བརྗོད་པ་སྒྲུབ་ཚུལ་ལ་བརྟེན་ནས་སྐུལ་འདེབས་ཀྱི་ངག་ལ་བརྩི་རྒྱུ་རེད།,bod
Public,ཚིག་གྲུབ་གཅིག་གི་ནང་ལ་བྱ་ཚིག་གཉིས་ཡོད་ནའང་ཚིག་གྲུབ་གཅིག་ལས་མེད་པ་དེར། སྐད་བརྡ་རིག་པས་ཁུངས་སྐྱེལ་སྣ་ཚོགས་ཡོད་པ་,bod
Public,དེ།དཔེར་ན་བྱ་ཚིག་ལ་བརྟེན་པའི་མིང་ཚིག་ཚོ་དུས་གཅིག་ལ་བྱ་ཚིག་དེ་གཉིས་ལ་བརྟེན་པས་སྐུལ་པ་པོ་ངེས་པར་བྱ་ཚིག་གཙོ་བོའི་སྔོན་དུ་སྦྱོར་དགོས་,bod
Public,པ་རེད་དེ། ཚིག་གྲུབ་དཔེ་བརྗོད་ལྟར་བཤད་ན་ཆོག་ནའང་། ལྟར་བཤད་མི་འགྲིག,bod
Public,ཚིག་གྲུབ་སྦྱོར་ཚུལ་གྱི་ཚོད་ལྟ་དེས་དཔེར་བརྗོད་པའི་ནང་དུ་སྐུལ་པ་པོའི་བརྟེན་ས་ནི་བྱ་ཚིག་« བཅུག་པ་ »ཁོ་ན་མིན་ལ། དུས་གཅིག་ལ་,bod
Public,བྱ་ཚིག་གཙོ་བོ་ « འགྲྲོ་བ་ »དང་བྱ་ཚིག་ཕལ་བ་« བཅུག་པ་ »ལ་བརྟེན་་པའི་ངངས་ལལ་རེད། དེའི་ལྡོག་ཕྱོགས་སུ་དཔེར་བརྗོད་ལྔ་པའི་ནང་སྐུལ་པ་,bod
Public,པོ་བྱ་ཚིག་གཙོ་བ་ « ལབ་པ »དང་སྐུལ་བ་མཚོན་པའི་བྱ་ཚིག་« སློབ་གསོ་བརྒྱབ་པ་ »བར་ལ་འཇོག་ཆོག་པ་དེས་སྐུལ་པ་པོའི་བརྟེན་སའི་བྱ་ཚིག་,bod
Public,« སློབ་གསོ་བརྒྱབ་པ་ »ཡིན་པ་གསལ་པོར་བཟོ་ཡི་ཡོད་པ་རེད།,bod
Public,ད་དུང་ཚིག་གྲུབ་གཅིག་ལས་མེད་ན་བྱ་ཚིག་དེ་གཉིས་བར་མང་མཐའ་ « རུ་ »འམ་ « པར་ » སོགས་མིང་མཐའ་དང་རྣམ་དབྱེ་མ་གཏོགས་,bod
Public,སྦྱོར་མི་སྲིད། སྐད་བརྡ་རིག་པས་ཁུངས་སྐྱེལ་གཞན་པ་འགའ་ཤས་ཡོད་ཀྱང་།,bod
Public,རྩོམ་ཡིག་གི་བརྗོད་གཞི་གཙོ་བོ་སྐུལ་འདེབས་ཀྱི་ནང་དོན་ཡིན་སྟབས་དེ་,bod
Public,ལས་ལྷག་པའི་ཞིབ་ཕྲའི་འགྲེལ་བཤད་བརྒྱག་རྒྱུ་མིན།,bod
Public,སྔོན་དུ་གསལ་བཤད་བྱས་པའི་མཚན་ཉིད་ཁག་དེ་གཉིས་ལ་ཞིབ་འཇུག་བྱས་ན། ལྷ་སའི་ཁ་སྐད་ལ་ཁྱོན་སྡོམ་སྐུལ་འདེབས་ཀྱི་ངག་བརྗོད་,bod
Public,་ང་གསལ་དཔེར་བརྗོད་དང་བར་དུ་དོན་དག་གི་ཁྱད་པར་ནི་བྱེད་འབྲེལ་ཡིན ་དང་མིན་གྱི་བྱ་ཚིག་ཡིན་པ་མ་ཟད། བྱ་ཚིག་གི་དག་,bod
Public,ཆའི་ཁྱད་པར་ཡང་ཡོད་པ་རེད། དེ་བས་སྐུལ་འདེབས་བརྗོད་ཚུལ་ཡིན་མིན་གྱི་གནད་འགག་ཅིག་ནི་ཚིག་གྲུབ་སྦྱོར་ཚུལ་ཡིན་ཏེ་དག་ཆའི་ཁྱད་པར་འདི་,bod
Public,ཡིན་པར་བརྩིས་ན་ཆོག་ཅིང་། དེ་ནི་སྒྲ་དོན་ཉེ་བའི་བྱེད་འབྲེལ་བྱེད་མེད་ཀྱི་བྱ་ཚིག་སྐུལ་འདེབས་ཀྱི་ངག་བརྗོད་ཚུལ་དང་པོ་རེད། ལྷ་སའི་ཁ་སྐད་ནང་དུ་དེ་,bod
Public,སྟར་གྱི་བྱེད་འབྲེལ་ཡིན་པའི་བྱ་ཚིག་ཉི་ཤུ་ལྷག་ཙམ་མ་གཏོགས་མེད་པ་དང་སྐུལ་འདེབས་བརྗོད་སྟངས་འདི་བེད་སྤྱོད་བྱས་ནས་བྱ་ཚིག་གསར་་པ་བཟོ་མ་,bod
Public,ཐུབ་པས་དེང་རབས་ཀྱི་ལྷ་སའི་ཁ་སྐད་ནང་དུ་ཐོན་ལད་ཡོད་པ་མ་རེད།,bod
Public,་ང་གི་དཔེར་བརྗོད་པའི་ནང་དུ་བྱ་ཚིག་ཕལ་བ་« བཅུག་པ་ »གིས་དོན་དག་གི་ཕྱོགས་ནས་སྐུལ་འདེབས་མཚོན་གྱི་ཡོད་པ་རེད། ད་དུང་,bod
Public,ཚིག་གྲུབ་སྦྱོར་ཚུལ་གྱི་ཕྱོགས་ནས་སྐུལ་པ་པོ་སྣོན་སྤེལ་བརྒྱག་རྒྱུའི་ནུས་པ་ཡོད་པ་བསྟན་ཚར་པ་རེད། དེ་བས་བྱ་ཚིག་ཕལ་བ་དེ་སྐུལ་འདེབས་སྟོན་པའི་,bod
Public,ཚིག་གཉིས་པ་དེརེད།,bod
Public,དེ་བཞིན་གཤམ་གྱི་དཔེར་བརྗོད་ནང་གི་བྱ་ཚིག་ཕལ་བ་« བཏང་བ་ »ནི་མཚན་ཉིད་དེ་གཉིས་ལ་མཐུན་པས་སྐུལ་འདེབས་སྟོན་པའི་,bod
Public,ཚིག་གསུམ་པ་དེ་རེད།,bod
Public,བརྗོད་སྟངས་དེ་ཐོག་མར་ཞིབ་འཇུག་འདི་བྱེད་རྒྱུའི་ཕྱོགས་བསྡུད་བྱས་པའི་བརྗོད་སྟངས་ནང་ནས་དོན་པ་དང་སྐུལ་འདེབས་ཀྱི་མཚན་ཉིད་ལ་,bod
Public,མཐུན་མདོག་ཁ་པོ་ཡིན་པས་སྐུལ་འདེབས་ཀྱི་བརྗོད་སྟངས་ལ་བརྩིས་པ་ཡིན། འོན་ཀྱང་བརྗོད་སྟངས་གཞན་པར་བསྡུར་ན་ནང་དོན་གྱི་ཁྱད་ཆོས་ཡོད་པ་,bod
Public,བསྟན་རྒྱུ་ཡིན། ད་དུང་་འཛམ་གླིང་གི་སྐད་རིགས་འགྲྲོ་སྟངས་ལ་བརྟེན་ན་སྐུལ་འདེབས་ལས་བྱ་ཚིག་ལ་བརྟེན་པའི་མིང་ཚིག་མང་རུ་གཏང་རྒྱུའི་ཐབས་,bod
